NAME_CHN,adcode,citycode
文昌市,469005,1893
黄山市,341000,559
鞍山市,210300,412
柳州市,450200,772
定安县,469021,806
酒泉市,620900,937
宿迁市,321300,527
博尔塔拉蒙古自治州,652700,909
宣城市,341800,563
大兴安岭地区,232700,457
阿克苏地区,652900,997
鹰潭市,360600,701
湘西土家族苗族自治州,433100,743
阜阳市,341200,1558
西安市,610100,29
聊城市,371500,635
资阳市,512000,832
通辽市,150500,475
周口市,411600,394
北海市,450500,779
黑河市,231100,456
佳木斯市,230800,454
兴安盟,152200,482
图木舒克市,659003,1998
驻马店市,411700,396
梅州市,441400,753
铜陵市,340700,562
中卫市,640500,1953
朝阳市,211300,421
桂林市,450300,773
九江市,360400,792
贵阳市,520100,851
海南藏族自治州,632500,974
武汉市,420100,27
南昌市,360100,791
银川市,640100,951
德宏傣族景颇族自治州,533100,692
玉树藏族自治州,632700,976
随州市,421300,722
滁州市,341100,550
万宁市,469006,1898
白银市,620400,943
阜新市,210900,418
菏泽市,371700,530
宜宾市,511500,831
常州市,320400,519
白山市,220600,439
漯河市,411100,395
黔西南布依族苗族自治州,522300,859
昭通市,530600,870
澄迈县,469023,804
巴音郭楞蒙古自治州,652800,996
鹤岗市,230400,468
石嘴山市,640200,952
齐齐哈尔市,230200,452
玉溪市,530400,877
宜春市,360900,795
内江市,511000,1832
崇左市,451400,1771
盘锦市,211100,427
常德市,430700,736
广安市,511600,826
呼伦贝尔市,150700,470
渭南市,610500,913
信阳市,411500,376
南京市,320100,25
昌吉回族自治州,652300,994
绍兴市,330600,575
许昌市,411000,374
昌都市,540300,895
赤峰市,150400,476
上海市,310000,21
六安市,341500,564
莆田市,350300,594
铜仁市,520600,856
韶关市,440200,751
商丘市,411400,370
丹东市,210600,415
牡丹江市,231000,453
济源市,419001,1391
眉山市,511400,1833
克拉玛依市,650200,990
衡水市,131100,318
陵水黎族自治县,469028,809
扬州市,321000,514
阳江市,441700,662
滨州市,371600,543
伊春市,230700,458
可克达拉市,659008,1999
文山壮族苗族自治州,532600,876
宁德市,350900,593
鸡西市,230300,467
白城市,220800,436
荆门市,420800,724
济南市,370100,531
三门峡市,411200,398
十堰市,420300,719
岳阳市,430600,730
东莞市,441900,769
台州市,331000,576
阿坝藏族羌族自治州,513200,837
平凉市,620800,933
湖州市,330500,572
永州市,431100,746
唐山市,130200,315
乌兰察布市,150900,474
泰安市,370900,538
贵港市,450800,1755
南宁市,450100,771
临汾市,141000,357
大连市,210200,411
广州市,440100,20
安阳市,410500,372
防城港市,450600,770
郑州市,410100,371
平顶山市,410400,375
深圳市,440300,755
东营市,370500,546
四平市,220300,434
合肥市,340100,551
衢州市,330800,570
安庆市,340800,556
杭州市,330100,571
淄博市,370300,533
石河子市,659001,993
青岛市,370200,532
铁岭市,211200,410
保亭黎族苗族自治县,469029,801
河池市,451200,778
淮南市,340400,554
来宾市,451300,1772
蚌埠市,340300,552
锡林郭勒盟,152500,479
三亚市,460200,899
徐州市,320300,516
乌海市,150300,473
昆玉市,659009,1903
天津市,120000,22
阳泉市,140300,353
广元市,510800,839
太原市,140100,351
佛山市,440600,757
重庆市,500000,23
楚雄彝族自治州,532300,878
泉州市,350500,595
红河哈尼族彝族自治州,532500,873
吉安市,360800,796
湘潭市,430300,732
厦门市,350200,592
辽阳市,211000,419
南阳市,411300,377
上饶市,361100,793
贺州市,451100,1774
中山市,442000,760
巴中市,511900,827
六盘水市,520200,858
晋中市,140700,354
温州市,330300,577
无锡市,320200,510
长沙市,430100,731
德州市,371400,534
石家庄市,130100,311
嘉兴市,330400,573
连云港市,320700,518
西双版纳傣族自治州,532800,691
咸宁市,421200,715
襄阳市,420600,710
铁门关市,659006,1996
遵义市,520300,852
云浮市,445300,766
双鸭山市,230500,469
咸阳市,610400,910
延安市,610600,911
昆明市,530100,871
昌江黎族自治县,469026,803
包头市,150200,472
海北藏族自治州,632200,970
甘孜藏族自治州,513300,836
大同市,140200,352
宝鸡市,610300,917
五指山市,469001,1897
海西蒙古族藏族自治州,632800,977
抚州市,361000,794
丽江市,530700,888
自贡市,510300,813
淮安市,320800,517
大庆市,230600,459
肇庆市,441200,758
达州市,511700,818
海口市,460100,898
庆阳市,621000,934
景德镇市,360200,798
张掖市,620700,936
锦州市,210700,416
兰州市,620100,931
新余市,360500,790
张家界市,430800,744
乐山市,511100,833
忻州市,140900,350
天门市,429006,1728
玉林市,450900,775
黔南布依族苗族自治州,522700,854
邢台市,130500,319
烟台市,370600,535
七台河市,230900,464
娄底市,431300,738
济宁市,370800,537
晋城市,140500,356
运城市,140800,359
甘南藏族自治州,623000,941
嘉峪关市,620200,1937
临沧市,530900,883
芜湖市,340200,553
株洲市,430200,733
钦州市,450700,777
双河市,659007,1909
潍坊市,370700,536
荆州市,421000,716
天水市,620500,938
珠海市,440400,756
湛江市,440800,759
乐东黎族自治县,469027,2802
固原市,640400,954
鄂州市,420700,711
镇江市,321100,511
丽水市,331100,578
金华市,330700,579
临夏回族自治州,622900,930
衡阳市,430400,734
商洛市,611000,914
哈尔滨市,230100,451
邯郸市,130400,310
琼海市,469002,1894
塔城地区,654200,901
儋州市,460400,805
马鞍山市,340500,555
濮阳市,410900,393
雅安市,511800,835
龙岩市,350800,597
鹤壁市,410600,392
吉林市,220200,432
保定市,130600,312
河源市,441600,762
辽源市,220400,437
林芝市,540400,894
泰州市,321200,523
郴州市,431000,735
潜江市,429005,2728
新乡市,410700,373
德阳市,510600,838
那曲市,540600,896
巴彦淖尔市,150800,478
长春市,220100,431
克孜勒苏柯尔克孜自治州,653000,908
山南市,540500,893
黄南藏族自治州,632300,973
神农架林区,429021,1719
海东市,630200,972
鄂尔多斯市,150600,477
东方市,469007,807
盐城市,320900,515
宿州市,341300,557
