NAME_CHN,adcode,level,x,y
松桃苗族自治县,520628,district,109.202,28.154
勐海县,532822,district,100.448,21.955
沿河土家族自治县,520627,district,108.495,28.56
平南县,450821,district,110.397,23.544
常宁市,430482,district,112.396,26.406
耒阳市,430481,district,112.847,26.414
玉屏侗族自治县,520622,district,108.917,27.238
潼南区,500152,district,105.841,30.189
江口县,520621,district,108.848,27.691
铜梁区,500151,district,106.054,29.839
开州区,500154,district,108.413,31.167
荣昌区,500153,district,105.594,29.403
武隆区,500156,district,107.756,29.323
巢湖市,340181,district,117.874,31.6
梁平区,500155,district,107.8,30.672
勐腊县,532823,district,101.567,21.479
灵台县,620822,district,107.62,35.064
泾川县,620821,district,107.365,35.335
双清区,430502,district,111.479,27.24
赫章县,520527,district,104.726,27.119
黔西县,520522,district,106.038,27.024
北流市,450981,district,110.348,22.701
华亭县,620824,district,106.649,35.215
大方县,520521,district,105.609,27.143
北塔区,430511,district,111.452,27.245
崇信县,620823,district,107.031,35.304
织金县,520524,district,105.768,26.668
静宁县,620826,district,105.733,35.525
三山区,340208,district,118.233,31.225
金沙县,520523,district,106.222,27.459
庄浪县,620825,district,106.041,35.203
鸠江区,340207,district,118.4,31.362
威宁彝族回族苗族自治县,520526,district,104.286,26.859
纳雍县,520525,district,105.375,26.769
大祥区,430503,district,111.462,27.233
镜湖区,340202,district,118.376,31.325
弋江区,340203,district,118.377,31.313
新宁县,430528,district,110.859,26.438
绥宁县,430527,district,110.155,26.58
城步苗族自治县,430529,district,110.313,26.363
南陵县,340223,district,118.337,30.919
无为县,340225,district,117.911,31.303
贵溪市,360681,district,117.212,28.283
新邵县,430522,district,111.459,27.311
邵东县,430521,district,111.743,27.257
赣县区,360704,district,115.018,25.865
隆回县,430524,district,111.038,27.116
南康区,360703,district,114.756,25.661
邵阳县,430523,district,111.275,26.989
洞口县,430525,district,110.579,27.062
繁昌县,340222,district,118.201,31.08
芜湖县,340221,district,118.572,31.145
涪陵区,500102,district,107.394,29.703
右江区,451002,district,106.615,23.897
万州区,500101,district,108.38,30.807
衡南县,430422,district,112.677,26.739
衡阳县,430421,district,112.379,26.962
蒸湘区,430408,district,112.57,26.89
石鼓区,430407,district,112.607,26.903
章贡区,360702,district,114.938,25.851
南岳区,430412,district,112.734,27.24
石柱土家族自治县,500240,district,108.112,29.998
酉阳土家族苗族自治县,500242,district,108.767,28.839
玉州区,450902,district,110.154,22.632
秀山土家族苗族自治县,500241,district,108.996,28.444
彭水苗族土家族自治县,500243,district,108.166,29.293
垫江县,500231,district,107.348,30.33
忠县,500233,district,108.037,30.291
衡东县,430424,district,112.95,27.083
奉节县,500236,district,109.465,31.019
衡山县,430423,district,112.869,27.234
云阳县,500235,district,108.697,30.93
祁东县,430426,district,112.111,26.787
巫溪县,500238,district,109.628,31.396
巫山县,500237,district,109.878,31.074
深州市,131182,district,115.554,38.003
福绵区,450903,district,110.054,22.581
大通区,340402,district,117.052,32.632
谢家集区,340404,district,116.865,32.598
田家庵区,340403,district,117.018,32.644
潘集区,340406,district,116.816,32.782
八公山区,340405,district,116.841,32.628
井冈山市,360881,district,114.284,26.745
陆川县,450922,district,110.264,22.321
容县,450921,district,110.552,22.856
兴业县,450924,district,109.877,22.741
博白县,450923,district,109.98,22.271
寿县,340422,district,116.785,32.577
凤台县,340421,district,116.722,32.705
崆峒区,620802,district,106.684,35.541
袁州区,360902,district,114.387,27.8
禹会区,340304,district,117.352,32.931
蚌山区,340303,district,117.355,32.938
君山区,430611,district,113.004,29.438
岳阳楼区,430602,district,113.12,29.366
云溪区,430603,district,113.273,29.473
湘阴县,430624,district,112.889,28.677
龙子湖区,340302,district,117.382,32.95
华容县,430623,district,112.559,29.524
平江县,430626,district,113.593,28.701
靖西市,451081,district,106.417,23.134
五河县,340322,district,117.888,33.146
怀远县,340321,district,117.2,32.956
固镇县,340323,district,117.315,33.318
中牟县,410122,district,114.022,34.721
平桂区,451103,district,111.524,24.417
瑞金市,360781,district,116.034,25.875
淮上区,340311,district,117.347,32.963
吉州区,360802,district,114.987,27.112
岳阳县,430621,district,113.116,29.144
青原区,360803,district,115.016,27.105
八步区,451102,district,111.551,24.412
钟山县,451122,district,111.303,24.528
昭平县,451121,district,110.81,24.172
富川瑶族自治县,451123,district,111.277,24.818
敦煌市,620982,district,94.664,40.141
玉门市,620981,district,97.037,40.286
吉水县,360822,district,115.134,27.213
吉安县,360821,district,114.905,27.04
卡若区,540302,district,97.178,31.137
贡觉县,540322,district,98.271,30.859
江达县,540321,district,98.218,31.499
丁青县,540324,district,95.597,31.41
丰都县,500230,district,107.732,29.866
新干县,360824,district,115.399,27.755
