NAME_CHN,NAME_ENG,SOC
南乔治亚岛和南桑德韦奇岛,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SGS
莫桑比克,Mozambique,MOZ
贝宁,Benin,BEN
立陶宛,LITHUANIA,LTU
马提尼克（法）,MARTINIQUE,MTQ
新加坡,SINGAPORE,SGP
尼日尔,Niger,NER
巴基斯坦,PAKISTAN,PAK
圣巴泰勒米（法）,Saint Barthelemy(Fr.),BLM
波兰,POLAND,POL
坦桑尼亚,TANZANIA,TZA
牙买加,JAMAICA,JAM
阿曼,OMAN,OMN
萨巴岛（荷）,Saba,sab
巴布亚新几内亚,PAPUA NEW GUINEA,PNG
加拿大,CANADA,CAN
科威特,KUWAIT,KWT
厄瓜多尔,ECUADOR,ECU
巴林,BAHRAIN,BHR
俄罗斯,Russian Federation,RUS
佛得角,CAPE VERDE,CPV
苏里南,Suriname,SUR
卡塔尔,QATAR,QAT
巴巴多斯,Barbados,BRB
莱索托,Lesotho,LSO
特克斯和凯科斯群岛（英）,TURKS AND CAICOS ISLANDS,TCA
萨尔瓦多,EL SALVADOR,SLV
哈萨克斯坦,KAZAKHSTAN,KAZ
阿尔巴尼亚,ALBANIA,ALB
赤道几内亚,EQUATORIAL GUINEA,GNQ
乍得,Chad,TCD
蒙古,Mongolia,MNG
津巴布韦,Zimbabwe,ZWE
争议地区,Area Under Dispute,A
爱沙尼亚,ESTONIA,EST
爱德华王子岛,PRINCE EDWARD ISLAND,SF
东帝汶,TIMOR TIMUR,TMP
中国,China,CHN
哥斯达黎加,COSTA RICA,CRI
塞内加尔,SENEGAL,SEN
危地马拉,GUATEMALA,GTM
吉布提,DJIBOUTI,DJI
瑙鲁,Nauru,NRU
法属玻利尼西亚,FRENCH POLYNESIA,PYF
缅甸,Myanmar,MMR
北马里亚纳群岛（美）,NORTHERN MARIANA ISLANDS(U.S.),MNP
圣卢西亚,St. Lucia,LCA
德国,GERMANY,DEU
法属圭亚那,FRENCH GUIANA,GUF
瓜德罗普（法）,GUADELOUPE,GLP
法罗群岛,FAROE ISLANDS,FRO
瑞士,Switzerland,CHE
几内亚,GUINEA,GIN
威克岛（美）,Wake Island,USA
韩国,"KOREA, REPUBLIC OF",KOR
加蓬,GABON,GAB
马其顿,The Former Yugoslav Republic of Macedonia,MKD
阿联酋,UNITED ARAB EMIRATES,ARE
圣诞岛（澳）,Christmas Island (AUS.),CXR
安哥拉,ANGOLA,AGO
列支敦士登,Liechtenstein,LIE
希腊,GREECE,GRC
塞拉利昂,SIERRA LEONE,SLE
帕劳,PALAU,PLW
泰国,THAILAND,THA
西撒哈拉,WESTERN SAHARA,ESH
新西兰,NEW ZEALAND,NZL
刚果,Congo,COG
芬兰,FINLAND,FIN
挪威,NORWAY,NOR
所罗门群岛,SOLOMON ISLANDS,SLB
斯洛文尼亚,Slovenia,SVN
葡萄牙,PORTUGAL,PRT
美属维尔京群岛,"VIRGIN ISLANDS,U.S.",VIR
斯洛伐克,Slovakia,SVK
也门,YEMEN,YEM
圣多美和普林西比,SAO TOME AND PRINCIPE,STP
皮特凯恩群岛（英）,PITCAIRN ISLANDS,PCN
毛里塔尼亚,MAURITANIA,MRT
博茨瓦纳,Botswana,BWA
圣马丁（荷）,St.Martin(Neth.),mah
丹麦,DENMARK,DNK
委内瑞拉,VENEZUELA,VEN
直布罗陀（英占）,Gibraltar,GIB
乌干达,Uganda,UGA
阿尔及利亚,ALGERIA,DZA
爱尔兰,IRELAND,IRL
黎巴嫩,Lebanon,LBN
埃及,EGYPT,EGY
意大利,ITALY,ITA
几内亚比绍,GUINEA-BISSAU,GNB
巴勒斯坦,Palestine,PSE
乌拉圭,Uruguay,URY
朝鲜,Democratic People's Republic of Korea,PRK
布维岛,Bouvet Island,BVT
利比亚,LIBYA,LBY
以色列,Israel,ISR
智利,CHILE,CHL
圣尤斯特歇斯岛（荷）,Sint Eustatius(Neth.),ses
阿根廷,ARGENTINA,ARG
乌兹别克斯坦,UZBEKISTAN,UZB
南苏丹,South Sudan,SSD
布基纳法索,Burkina Faso,BFA
科特迪瓦,COTE DIVOIRE,CIV
哥伦比亚,Colombia,COL
塔吉克斯坦,TAJIKISTAN,TJK
黑山共和国,MONTENEGRO,MNE
英属印度洋领地,BRITISH INDIAN OCEAN TERRITORY,IOT
英国,UNITED KINGDOM,GBR
埃塞俄比亚,Ethiopia,ETH
法国,FRANCE,FRA
留尼汪（法）,Reunion,REU
捷克,Czech Republic,CZE
吉尔吉斯斯坦,Kyrgyzstan,KGZ
伊拉克,IRAQ,IRQ
圣赫勒拿（英）,St. Helena (U.K.),SHN
摩洛哥,MOROCCO,MAR
阿塞拜疆,Azerbaijan,AZE
开曼群岛（英）,CAYMAN ISLANDS,CYM
伯利兹,BELIZE,BLZ
玻利维亚,Bolivia,BOL
加那利群岛,CANARIAS,ESP
冰岛,ICELAND,ISL
美国,UNITED STATES,USA
加纳,Ghana,GHA
南非,SOUTH AFRICA,ZAF
澳大利亚,AUSTRALIA,AUS
摩纳哥,Monaco,MCO
孟加拉国,BANGLADESH,BGD
斐济,Fiji,FJI
南极洲,ANTARCTICA,ATA
多米尼加,DOMINICAN REPUBLIC,DOM
斯里兰卡,SRILANKA,LKA
卢森堡,Letzebuerg,LUX
文莱,BRUNEI,BRN
巴拉圭,Paraguay,PRY
日本,Japan,JPN
白俄罗斯,Belarus,BLR
克罗地亚,CROATIA,HRV
马耳他,MALTA,MLT
图瓦卢,TUVALU,TUV
马尔维纳斯群岛（阿根、英争议）（英称福克兰群岛）,IS.MALVINAS(CLAIMED BY ARG.&U.K.) (FALKLAND IS.),FLK
匈牙利,Hungary,HUN
托克劳,TOKELAU,TKL
塞浦路斯,Cyprus,CYP
阿鲁巴（荷）,Aruba,ABW
秘鲁,PERU,PER
赫德岛和麦克唐纳岛,HEARD ISLAND AND MCDONALD ISLANDS,HMD
老挝,Laos,LAO
圣基茨和尼维斯,ST.KITTS AND NEVIS,KNA
马里,Mali,MLI
荷兰,NETHERLANDS,NLD
蒙特塞拉特（英）,Montserrat,MSR
卢旺达,Rwanda,RWA
多哥,Togo,TGO
马来西亚,MALAYSIA,MYS
拉脱维亚,Latvia,LVA
保加利亚,Bulgaria,BGR
瑞典,SWEDEN,SWE
法属南部领地,FRENCH SOUTHERN TERRITORIES,ATF
厄立特里亚,ERITREA,ERI
尼泊尔,Nepal,NPL
新喀里多尼亚（法）,NEW CALEDONIA,NCL
马德拉岛,MADEIRA,PRT
苏丹,Sudan,SDN
尼日利亚,NIGERIA,NGA
克什米尔,China,
格林纳达,GRENADA,GRD
塞尔维亚,Serbia,SRB
阿富汗,Afghanistan,AFG
毛里求斯,MAURITIUS,MUS
墨西哥,MEXICO,MEX
圭亚那,GUYANA,GUY
印度,INDIA,IND
越南,VIET NAM,VNM
喀麦隆,Cameroon,CMR
科科斯群岛（澳）,Cocos Islands (AUS.),CCK
斯瓦尔巴岛和扬马延岛,SVALBARD AND JAN MAYEN,NOR
西班牙,SPAIN,ESP
安提瓜和巴布达,ANTIGUA AND BARBUDA,ATG
诺福克岛（澳）,Norfolk Island (AUS.),NFK
巴哈马,BAHAMAS,BHS
特立尼达和多巴哥,TRINIDAD AND TOBAGO,TTO
圣皮埃尔和密克隆（法）,SAINT PIERRE AND MIQUELON(Fr.),SPM
圣文森特和格林纳丁斯,SAINT VINCENT AND THE GRENADINES,VCT
刚果民主共和国,D.R.CONGO,COD
柬埔寨,CAMBODIA,KHM
纽埃,Niue,NIU
罗马尼亚,ROMANIA,ROM
安圭拉（英）,ANGUILLA,AIA
摩尔多瓦,Moldova,MDA
库拉索（荷）,Curacao (Neth.),ANT
波黑,Bosnia and Herzegovina,BIH
索马里,SOMALIA,SOM
马绍尔群岛,MARSHALL ISLANDS,MHL
萨摩亚,Samoa,WSM
瓦利斯和富图纳（法）,WALLIS AND FUTUNA,WLF
巴西,BRAZIL,BRA
伊朗,IRAN,IRN
百慕大（英）,BERMUDA,BMU
马尔代夫,MALDIVES,MDV
瓦努阿图,VANUATU,VUT
土库曼斯坦,TURKMENISTAN,TKM
马拉维,Malawi,MWI
沙特阿拉伯,SAUDI ARABIA,SAU
汤加,TONGA,TON
叙利亚,Syria,SYR
土耳其,TURKEY,TUR
利比里亚,Liberia,LBR
克利珀顿岛（法）,Clipperton Island (France),cli
纳米比亚,NAMIBIA,NAM
圣马丁（法）,St. Martin(Fr.),MAF
塞舌尔,SEYCHELLES,SYC
斯威士兰,Swaziland,SWZ
圣马力诺,San Marino,SMR
尼加拉瓜,NICARAGUA,NIC
菲律宾,PHILIPPINES,PHL
亚美尼亚,ARMENIA,ARM
乌克兰,UKRAINE,UKR
奥地利,Austria,AUT
英属维尔京群岛,Virgin IslandsU.K.,VGB
安道尔,Andorra,AND
古巴,CUBA,CUB
科摩罗,MAYOTTE,COM
比利时,Belgium,BEL
洪都拉斯,HONDURAS,HND
库克群岛,COOK ISLANDS,COK
冈比亚,Gambia,GMB
多米尼克,Dominica,DMA
巴拿马,Panama,PAN
约旦,Jordan,JOR
格陵兰（丹）,Greenland (Den.),GRL
印度尼西亚,INDONESIA,IDN
美属萨摩亚,AMERICAN SAMOA,ASM
马达加斯加,MADAGASCAR,MDG
不丹,Bhutan,BTN
梵蒂冈,Vatican City,VAT
布隆迪,Burundi,BDI
基里巴斯,KIRIBATI,KIR
海地,HAITI,HTI
突尼斯,TUNISIA,TUN
中非,Central Africa,CAF
格鲁吉亚,Georgia,GEO
波多黎各（美）,PUERTO RICO,PRI
密克罗尼西亚联邦,Micronesia,FSM
赞比亚,Zambia,ZMB
肯尼亚,KENYA,KEN
